Countries and territories,Cases,Deaths,Hospital Beds,Doctors,Nurses,Daily Smokers,Overweight or obese population,Alcohol consumption,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP)
united_arab_emirates,153,2,,,,,,,ARE,14.60350937,84.31148965,1.085000985,9630959.0,69.36331205,30.63668795,3.51684955
united_kingdom,5683,281,2.54,2.85,7.8,17.2,64.3,9.7,GBR,17.67808207,63.92605226,18.39586567,66488991.0,49.36472544,50.63527456,9.7623484
united_republic_of_tanzania,12,0,,,,,,,TZA,44.09823815,53.30046267,2.601299178,56318348.0,49.94898909,50.05101091,4.13992059
united_states_of_america,35206,471,2.77,2.61,11.74,10.5,71.0,8.9,USA,18.70903998,65.48330596,15.80765406,327167434.0,49.47998535,50.52001465,17.07341533
uruguay,158,0,,,,,,,URY,20.60798107,64.57749939,14.81451953,3449299.0,48.27845731,51.72154269,9.06075776
uzbekistan,46,0,,,,,,,UZB,28.68605741,66.89480471,4.419137878,32955400.0,49.86264108,50.13735892,6.33520937
venezuela,36,0,,,,,,,VEN,27.66665058,65.06636280000001,7.26698662,28870195.0,49.3667402,50.6332598,3.21708435
vietnam,118,0,,,,,,,VNM,23.17267683,69.55234487,7.274978298,95540395.0,49.90359038,50.09640962,5.65919354
zambia,3,0,,,,,,,ZMB,44.93614116,52.96418082,2.099678026,17351822.0,49.50679224,50.49320776,4.47720737
zimbabwe,2,0,,,,,,,ZWE,42.40106624,54.65941011,2.939523653,14439018.0,47.64324793,52.35675207,9.41366844
